relpath,status,reason,bytes
sirep\.env,skipped,ignored-name,
sirep\.env.example,skipped,ignored-name,
sirep\export_repo_txt.py,skipped,ignored-name,
sirep\pyproject.toml,skipped,ignored-name,
sirep\sirep.db,skipped,ignored-name,
sirep\__init__.py,skipped,ignored-name,
sirep\adapters\base.py,exported,ok,1267
sirep\adapters\stubs.py,exported,ok,2797
sirep\app\api.py,exported,ok,3118
sirep\app\captura.py,exported,ok,7151
sirep\app\cli.py,exported,ok,1072
sirep\domain\enums.py,exported,ok,796
sirep\domain\models.py,exported,ok,2797
sirep\domain\schemas.py,exported,ok,1526
sirep\infra\config.py,exported,ok,468
sirep\infra\db.py,exported,ok,513
sirep\infra\repositories.py,exported,ok,2324
sirep\scripts\pipeline.ps1,exported,ok,461
sirep\scripts\reset_db.py,exported,ok,1136
sirep\scripts\run_pipeline.py,exported,ok,662
sirep\scripts\smoke.ps1,exported,ok,297
sirep\services\base.py,exported,ok,541
sirep\services\etapas.py,exported,ok,11247
sirep\services\orchestrator.py,exported,ok,1671
sirep\shared\idempotency.py,exported,ok,256
sirep\shared\retry.py,exported,ok,284
sirep\ui\index.html,exported,ok,14616
